Productivity,Communication,Leadership,Learning,Collaboration,Productivity_Level,Communication_Level,Leadership_Level,Learning_Level,Collaboration_Level,Overall_Behavior_Score,Overall_Behavior_Level
50.0,61.25,72.5,77.5,68.5,Moderate,Moderate,High,High,Moderate,65.95,Moderate
20.0,81.25,50.0,86.25,59.0,Low,High,Moderate,High,Moderate,59.3,Moderate
90.0,51.25,47.5,67.5,37.5,High,Moderate,Moderate,Moderate,Low,58.75,Moderate
70.0,45.0,72.5,70.0,80.5,High,Moderate,High,High,High,67.6,Moderate
60.0,16.25,45.0,76.25,51.5,Moderate,Low,Moderate,High,Moderate,49.8,Moderate
50.0,58.75,20.0,50.0,40.0,Moderate,Moderate,Low,Moderate,Moderate,43.75,Moderate
70.0,38.75,75.0,55.0,82.0,High,Low,High,Moderate,High,64.15,Moderate
50.0,77.5,22.5,68.75,62.0,Moderate,High,Low,Moderate,Moderate,56.15,Moderate
70.0,25.0,85.0,83.75,50.5,High,Low,High,High,Moderate,62.85,Moderate
90.0,50.0,72.5,66.25,32.0,High,Moderate,High,Moderate,Low,62.15,Moderate
80.0,18.75,92.5,63.75,78.5,High,Low,High,Moderate,High,66.7,Moderate
40.0,32.5,65.0,48.75,63.5,Moderate,Low,Moderate,Moderate,Moderate,49.95,Moderate
70.0,40.0,12.5,50.0,71.0,High,Moderate,Low,Moderate,High,48.7,Moderate
60.0,23.75,50.0,23.75,66.0,Moderate,Low,Moderate,Low,Moderate,44.7,Moderate
40.0,31.25,72.5,37.5,79.0,Moderate,Low,High,Low,High,52.05,Moderate
40.0,36.25,57.5,51.25,39.5,Moderate,Low,Moderate,Moderate,Low,44.9,Moderate
50.0,26.25,30.0,38.75,59.5,Moderate,Low,Low,Low,Moderate,40.9,Moderate
30.0,57.5,90.0,73.75,61.5,Low,Moderate,High,High,Moderate,62.55,Moderate
40.0,66.25,75.0,43.75,88.5,Moderate,Moderate,High,Moderate,High,62.7,Moderate
40.0,66.25,52.5,15.0,85.0,Moderate,Moderate,Moderate,Low,High,51.75,Moderate
60.0,48.75,52.5,48.75,60.0,Moderate,Moderate,Moderate,Moderate,Moderate,54.0,Moderate
30.0,51.25,50.0,38.75,70.5,Low,Moderate,Moderate,Low,High,48.1,Moderate
90.0,67.5,80.0,72.5,29.5,High,Moderate,High,High,Low,67.9,Moderate
50.0,23.75,35.0,82.5,52.5,Moderate,Low,Low,High,Moderate,48.75,Moderate
40.0,31.25,60.0,38.75,80.5,Moderate,Low,Moderate,Low,High,50.1,Moderate
60.0,35.0,82.5,76.25,62.0,Moderate,Low,High,High,Moderate,63.15,Moderate
60.0,73.75,60.0,43.75,52.5,Moderate,High,Moderate,Moderate,Moderate,58.0,Moderate
90.0,65.0,50.0,77.5,56.0,High,Moderate,Moderate,High,Moderate,67.7,Moderate
50.0,77.5,67.5,33.75,85.0,Moderate,High,Moderate,Low,High,62.75,Moderate
90.0,30.0,35.0,70.0,85.0,High,Low,Low,High,High,62.0,Moderate
40.0,47.5,97.5,92.5,58.5,Moderate,Moderate,High,High,Moderate,67.2,Moderate
60.0,52.5,50.0,51.25,69.5,Moderate,Moderate,Moderate,Moderate,Moderate,56.65,Moderate
30.0,45.0,37.5,70.0,55.0,Low,Moderate,Low,High,Moderate,47.5,Moderate
70.0,21.25,65.0,72.5,64.5,High,Low,Moderate,High,Moderate,58.65,Moderate
80.0,30.0,62.5,77.5,73.0,High,Low,Moderate,High,High,64.6,Moderate
60.0,22.5,20.0,77.5,85.5,Moderate,Low,Low,High,High,53.1,Moderate
50.0,43.75,80.0,85.0,69.5,Moderate,Moderate,High,High,Moderate,65.65,Moderate
90.0,71.25,87.5,78.75,74.0,High,High,High,High,High,80.3,High
40.0,56.25,77.5,52.5,60.5,Moderate,Moderate,High,Moderate,Moderate,57.35,Moderate
80.0,33.75,42.5,10.0,60.0,High,Low,Moderate,Low,Moderate,45.25,Moderate
70.0,48.75,12.5,60.0,81.5,High,Moderate,Low,Moderate,High,54.55,Moderate
100.0,22.5,70.0,78.75,55.0,High,Low,High,High,Moderate,65.25,Moderate
50.0,71.25,67.5,60.0,59.0,Moderate,High,Moderate,Moderate,Moderate,61.55,Moderate
40.0,56.25,42.5,43.75,47.0,Moderate,Moderate,Moderate,Moderate,Moderate,45.9,Moderate
50.0,50.0,37.5,57.5,50.5,Moderate,Moderate,Low,Moderate,Moderate,49.1,Moderate
80.0,60.0,67.5,83.75,64.0,High,Moderate,Moderate,High,Moderate,71.05,High
30.0,32.5,42.5,3.75,43.0,Low,Low,Moderate,Low,Moderate,30.35,Low
50.0,41.25,22.5,75.0,61.5,Moderate,Moderate,Low,High,Moderate,50.05,Moderate
80.0,43.75,55.0,52.5,35.5,High,Moderate,Moderate,Moderate,Low,53.35,Moderate
80.0,27.5,70.0,58.75,51.5,High,Low,High,Moderate,Moderate,57.55,Moderate
60.0,58.75,60.0,75.0,49.0,Moderate,Moderate,Moderate,High,Moderate,60.55,Moderate
30.0,32.5,27.5,42.5,39.5,Low,Low,Low,Moderate,Low,34.4,Low
60.0,13.75,100.0,42.5,60.0,Moderate,Low,High,Moderate,Moderate,55.25,Moderate
40.0,43.75,85.0,65.0,41.0,Moderate,Moderate,High,Moderate,Moderate,54.95,Moderate
90.0,42.5,50.0,32.5,41.0,High,Moderate,Moderate,Low,Moderate,51.2,Moderate
40.0,57.5,65.0,75.0,74.5,Moderate,Moderate,Moderate,High,High,62.4,Moderate
90.0,32.5,40.0,41.25,47.5,High,Low,Moderate,Moderate,Moderate,50.25,Moderate
50.0,41.25,50.0,83.75,65.0,Moderate,Moderate,Moderate,High,Moderate,58.0,Moderate
70.0,51.25,30.0,75.0,56.0,High,Moderate,Low,High,Moderate,56.45,Moderate
20.0,71.25,57.5,60.0,42.5,Low,High,Moderate,Moderate,Moderate,50.25,Moderate
90.0,11.25,40.0,75.0,35.0,High,Low,Moderate,High,Low,50.25,Moderate
60.0,35.0,97.5,10.0,87.5,Moderate,Low,High,Low,High,58.0,Moderate
60.0,61.25,75.0,61.25,72.5,Moderate,Moderate,High,Moderate,High,66.0,Moderate
60.0,80.0,80.0,80.0,62.5,Moderate,High,High,High,Moderate,72.5,High
70.0,80.0,62.5,40.0,40.0,High,High,Moderate,Moderate,Moderate,58.5,Moderate
100.0,32.5,57.5,63.75,58.0,High,Low,Moderate,Moderate,Moderate,62.35,Moderate
50.0,12.5,77.5,58.75,77.5,Moderate,Low,High,Moderate,High,55.25,Moderate
80.0,42.5,57.5,87.5,87.5,High,Moderate,Moderate,High,High,71.0,High
90.0,48.75,80.0,38.75,56.5,High,Moderate,High,Low,Moderate,62.8,Moderate
50.0,25.0,60.0,32.5,98.5,Moderate,Low,Moderate,Low,High,53.2,Moderate
90.0,27.5,47.5,60.0,80.0,High,Low,Moderate,Moderate,High,61.0,Moderate
80.0,37.5,45.0,18.75,67.0,High,Low,Moderate,Low,Moderate,49.65,Moderate
50.0,22.5,67.5,48.75,50.0,Moderate,Low,Moderate,Moderate,Moderate,47.75,Moderate
40.0,60.0,65.0,51.25,81.0,Moderate,Moderate,Moderate,Moderate,High,59.45,Moderate
60.0,67.5,65.0,95.0,57.0,Moderate,Moderate,Moderate,High,Moderate,68.9,Moderate
40.0,70.0,62.5,38.75,52.5,Moderate,High,Moderate,Low,Moderate,52.75,Moderate
40.0,45.0,40.0,55.0,60.0,Moderate,Moderate,Moderate,Moderate,Moderate,48.0,Moderate
70.0,55.0,52.5,40.0,54.0,High,Moderate,Moderate,Moderate,Moderate,54.3,Moderate
70.0,40.0,50.0,38.75,56.0,High,Moderate,Moderate,Low,Moderate,50.95,Moderate
50.0,50.0,40.0,38.75,62.5,Moderate,Moderate,Moderate,Low,Moderate,48.25,Moderate
60.0,65.0,87.5,88.75,61.5,Moderate,Moderate,High,High,Moderate,72.55,High
100.0,53.75,72.5,73.75,82.0,High,Moderate,High,High,High,76.4,High
50.0,66.25,72.5,50.0,65.0,Moderate,Moderate,High,Moderate,Moderate,60.75,Moderate
40.0,52.5,77.5,67.5,64.5,Moderate,Moderate,High,Moderate,Moderate,60.4,Moderate
70.0,35.0,52.5,45.0,55.5,High,Low,Moderate,Moderate,Moderate,51.6,Moderate
30.0,53.75,42.5,16.25,77.0,Low,Moderate,Moderate,Low,High,43.9,Moderate
50.0,60.0,32.5,68.75,77.5,Moderate,Moderate,Low,Moderate,High,57.75,Moderate
70.0,55.0,82.5,73.75,54.0,High,Moderate,High,High,Moderate,67.05,Moderate
80.0,20.0,62.5,62.5,42.0,High,Low,Moderate,Moderate,Moderate,53.4,Moderate
40.0,67.5,20.0,80.0,37.0,Moderate,Moderate,Low,High,Low,48.9,Moderate
60.0,81.25,20.0,95.0,68.5,Moderate,High,Low,High,Moderate,64.95,Moderate
60.0,70.0,70.0,76.25,55.5,Moderate,High,High,High,Moderate,66.35,Moderate
60.0,25.0,50.0,47.5,74.0,Moderate,Low,Moderate,Moderate,High,51.3,Moderate
40.0,55.0,50.0,51.25,97.5,Moderate,Moderate,Moderate,Moderate,High,58.75,Moderate
60.0,43.75,40.0,37.5,92.0,Moderate,Moderate,Moderate,Low,High,54.65,Moderate
40.0,48.75,62.5,52.5,52.5,Moderate,Moderate,Moderate,Moderate,Moderate,51.25,Moderate
20.0,68.75,32.5,85.0,54.5,Low,Moderate,Low,High,Moderate,52.15,Moderate
60.0,63.75,85.0,42.5,85.5,Moderate,Moderate,High,Moderate,High,67.35,Moderate
50.0,62.5,75.0,45.0,83.0,Moderate,Moderate,High,Moderate,High,63.1,Moderate
60.0,53.75,32.5,30.0,45.5,Moderate,Moderate,Low,Low,Moderate,44.35,Moderate
50.0,40.0,60.0,2.5,96.0,Moderate,Moderate,Moderate,Low,High,49.7,Moderate
40.0,37.5,52.5,50.0,46.5,Moderate,Low,Moderate,Moderate,Moderate,45.3,Moderate
70.0,23.75,80.0,65.0,88.5,High,Low,High,Moderate,High,65.45,Moderate
100.0,45.0,47.5,73.75,55.0,High,Moderate,Moderate,High,Moderate,64.25,Moderate
90.0,12.5,35.0,73.75,82.0,High,Low,Low,High,High,58.65,Moderate
60.0,23.75,85.0,82.5,73.0,Moderate,Low,High,High,High,64.85,Moderate
60.0,61.25,50.0,75.0,88.0,Moderate,Moderate,Moderate,High,High,66.85,Moderate
90.0,62.5,47.5,42.5,84.5,High,Moderate,Moderate,Moderate,High,65.4,Moderate
60.0,52.5,37.5,81.25,65.5,Moderate,Moderate,Low,High,Moderate,59.35,Moderate
30.0,35.0,85.0,53.75,62.0,Low,Low,High,Moderate,Moderate,53.15,Moderate
80.0,22.5,92.5,70.0,47.0,High,Low,High,High,Moderate,62.4,Moderate
80.0,20.0,52.5,73.75,27.0,High,Low,Moderate,High,Low,50.65,Moderate
70.0,56.25,15.0,5.0,56.0,High,Moderate,Low,Low,Moderate,40.45,Moderate
60.0,70.0,47.5,78.75,64.5,Moderate,High,Moderate,High,Moderate,64.15,Moderate
50.0,52.5,47.5,46.25,50.5,Moderate,Moderate,Moderate,Moderate,Moderate,49.35,Moderate
100.0,46.25,70.0,58.75,69.5,High,Moderate,High,Moderate,Moderate,68.9,Moderate
60.0,11.25,67.5,51.25,59.5,Moderate,Low,Moderate,Moderate,Moderate,49.9,Moderate
80.0,52.5,95.0,35.0,66.5,High,Moderate,High,Low,Moderate,65.8,Moderate
90.0,13.75,27.5,17.5,78.5,High,Low,Low,Low,High,45.45,Moderate
60.0,58.75,100.0,85.0,59.5,Moderate,Moderate,High,High,Moderate,72.65,High
40.0,23.75,85.0,52.5,59.0,Moderate,Low,High,Moderate,Moderate,52.05,Moderate
30.0,67.5,57.5,56.25,91.5,Low,Moderate,Moderate,Moderate,High,60.55,Moderate
60.0,43.75,57.5,80.0,68.0,Moderate,Moderate,Moderate,High,Moderate,61.85,Moderate
60.0,61.25,37.5,58.75,80.0,Moderate,Moderate,Low,Moderate,High,59.5,Moderate
100.0,40.0,32.5,48.75,76.5,High,Moderate,Low,Moderate,High,59.55,Moderate
60.0,17.5,50.0,42.5,94.0,Moderate,Low,Moderate,Moderate,High,52.8,Moderate
40.0,45.0,60.0,73.75,45.0,Moderate,Moderate,Moderate,High,Moderate,52.75,Moderate
60.0,43.75,32.5,50.0,63.5,Moderate,Moderate,Low,Moderate,Moderate,49.95,Moderate
60.0,46.25,12.5,61.25,45.0,Moderate,Moderate,Low,Moderate,Moderate,45.0,Moderate
40.0,38.75,50.0,56.25,46.0,Moderate,Low,Moderate,Moderate,Moderate,46.2,Moderate
80.0,45.0,47.5,71.25,72.5,High,Moderate,Moderate,High,High,63.25,Moderate
60.0,48.75,60.0,52.5,55.5,Moderate,Moderate,Moderate,Moderate,Moderate,55.35,Moderate
50.0,66.25,55.0,76.25,42.5,Moderate,Moderate,Moderate,High,Moderate,58.0,Moderate
40.0,61.25,82.5,17.5,95.5,Moderate,Moderate,High,Low,High,59.35,Moderate
50.0,56.25,30.0,72.5,30.5,Moderate,Moderate,Low,High,Low,47.85,Moderate
90.0,37.5,77.5,41.25,61.0,High,Low,High,Moderate,Moderate,61.45,Moderate
40.0,51.25,90.0,20.0,44.0,Moderate,Moderate,High,Low,Moderate,49.05,Moderate
40.0,32.5,60.0,43.75,71.5,Moderate,Low,Moderate,Moderate,High,49.55,Moderate
70.0,62.5,67.5,50.0,84.0,High,Moderate,Moderate,Moderate,High,66.8,Moderate
30.0,47.5,87.5,67.5,43.5,Low,Moderate,High,Moderate,Moderate,55.2,Moderate
50.0,60.0,85.0,92.5,71.0,Moderate,Moderate,High,High,High,71.7,High
30.0,51.25,75.0,68.75,78.5,Low,Moderate,High,Moderate,High,60.7,Moderate
30.0,32.5,80.0,25.0,59.0,Low,Low,High,Low,Moderate,45.3,Moderate
60.0,37.5,57.5,38.75,71.5,Moderate,Low,Moderate,Low,High,53.05,Moderate
40.0,73.75,60.0,18.75,43.0,Moderate,High,Moderate,Low,Moderate,47.1,Moderate
50.0,37.5,57.5,47.5,75.0,Moderate,Low,Moderate,Moderate,High,53.5,Moderate
60.0,46.25,55.0,80.0,76.0,Moderate,Moderate,Moderate,High,High,63.45,Moderate
90.0,26.25,82.5,76.25,52.5,High,Low,High,High,Moderate,65.5,Moderate
50.0,18.75,67.5,68.75,66.0,Moderate,Low,Moderate,Moderate,Moderate,54.2,Moderate
80.0,57.5,77.5,78.75,80.5,High,Moderate,High,High,High,74.85,High
30.0,27.5,45.0,83.75,71.5,Low,Low,Moderate,High,High,51.55,Moderate
50.0,51.25,40.0,92.5,27.5,Moderate,Moderate,Moderate,High,Low,52.25,Moderate
50.0,65.0,80.0,73.75,64.5,Moderate,Moderate,High,High,Moderate,66.65,Moderate
50.0,51.25,90.0,35.0,32.5,Moderate,Moderate,High,Low,Low,51.75,Moderate
80.0,35.0,60.0,60.0,47.0,High,Low,Moderate,Moderate,Moderate,56.4,Moderate
90.0,21.25,60.0,27.5,41.0,High,Low,Moderate,Low,Moderate,47.95,Moderate
20.0,32.5,60.0,90.0,71.0,Low,Low,Moderate,High,High,54.7,Moderate
60.0,67.5,80.0,68.75,74.5,Moderate,Moderate,High,Moderate,High,70.15,High
100.0,20.0,60.0,62.5,36.5,High,Low,Moderate,Moderate,Low,55.8,Moderate
30.0,63.75,65.0,76.25,51.0,Low,Moderate,Moderate,High,Moderate,57.2,Moderate
20.0,15.0,35.0,82.5,60.0,Low,Low,Low,High,Moderate,42.5,Moderate
40.0,45.0,55.0,97.5,69.0,Moderate,Moderate,Moderate,High,Moderate,61.3,Moderate
40.0,67.5,35.0,63.75,77.5,Moderate,Moderate,Low,Moderate,High,56.75,Moderate
60.0,27.5,17.5,90.0,77.0,Moderate,Low,Low,High,High,54.4,Moderate
80.0,53.75,27.5,57.5,42.5,High,Moderate,Low,Moderate,Moderate,52.25,Moderate
30.0,47.5,65.0,12.5,25.5,Low,Moderate,Moderate,Low,Low,36.1,Low
90.0,52.5,50.0,75.0,29.0,High,Moderate,Moderate,High,Low,59.3,Moderate
50.0,66.25,60.0,80.0,92.0,Moderate,Moderate,Moderate,High,High,69.65,Moderate
30.0,12.5,42.5,35.0,79.5,Low,Low,Moderate,Low,High,39.9,Low
90.0,23.75,70.0,60.0,73.5,High,Low,High,Moderate,High,63.45,Moderate
70.0,71.25,30.0,38.75,53.0,High,High,Low,Low,Moderate,52.6,Moderate
70.0,47.5,62.5,46.25,39.5,High,Moderate,Moderate,Moderate,Low,53.15,Moderate
60.0,16.25,37.5,56.25,43.0,Moderate,Low,Low,Moderate,Moderate,42.6,Moderate
80.0,31.25,32.5,62.5,66.5,High,Low,Low,Moderate,Moderate,54.55,Moderate
80.0,37.5,57.5,32.5,49.5,High,Low,Moderate,Low,Moderate,51.4,Moderate
80.0,38.75,37.5,51.25,83.5,High,Low,Low,Moderate,High,58.2,Moderate
50.0,45.0,60.0,75.0,74.5,Moderate,Moderate,Moderate,High,High,60.9,Moderate
50.0,71.25,92.5,43.75,52.0,Moderate,High,High,Moderate,Moderate,61.9,Moderate
50.0,43.75,25.0,47.5,68.5,Moderate,Moderate,Low,Moderate,Moderate,46.95,Moderate
60.0,35.0,20.0,55.0,73.0,Moderate,Low,Low,Moderate,High,48.6,Moderate
40.0,32.5,27.5,56.25,90.0,Moderate,Low,Low,Moderate,High,49.25,Moderate
80.0,63.75,57.5,50.0,47.0,High,Moderate,Moderate,Moderate,Moderate,59.65,Moderate
50.0,47.5,62.5,31.25,46.5,Moderate,Moderate,Moderate,Low,Moderate,47.55,Moderate
30.0,63.75,12.5,81.25,48.5,Low,Moderate,Low,High,Moderate,47.2,Moderate
80.0,47.5,40.0,40.0,78.5,High,Moderate,Moderate,Moderate,High,57.2,Moderate
70.0,57.5,90.0,45.0,54.0,High,Moderate,High,Moderate,Moderate,63.3,Moderate
80.0,41.25,65.0,71.25,61.0,High,Moderate,Moderate,High,Moderate,63.7,Moderate
60.0,76.25,55.0,72.5,76.5,Moderate,High,Moderate,High,High,68.05,Moderate
80.0,57.5,47.5,56.25,76.0,High,Moderate,Moderate,Moderate,High,63.45,Moderate
70.0,61.25,60.0,68.75,71.5,High,Moderate,Moderate,Moderate,High,66.3,Moderate
80.0,33.75,47.5,7.5,27.5,High,Low,Moderate,Low,Low,39.25,Low
60.0,51.25,17.5,55.0,54.5,Moderate,Moderate,Low,Moderate,Moderate,47.65,Moderate
50.0,60.0,50.0,73.75,45.5,Moderate,Moderate,Moderate,High,Moderate,55.85,Moderate
50.0,35.0,70.0,71.25,51.0,Moderate,Low,High,High,Moderate,55.45,Moderate
50.0,27.5,57.5,35.0,69.5,Moderate,Low,Moderate,Low,Moderate,47.9,Moderate
30.0,45.0,50.0,62.5,78.5,Low,Moderate,Moderate,Moderate,High,53.2,Moderate
20.0,31.25,40.0,87.5,44.5,Low,Low,Moderate,High,Moderate,44.65,Moderate
80.0,51.25,17.5,78.75,61.0,High,Moderate,Low,High,Moderate,57.7,Moderate
80.0,43.75,17.5,90.0,81.5,High,Moderate,Low,High,High,62.55,Moderate
70.0,63.75,37.5,45.0,62.5,High,Moderate,Low,Moderate,Moderate,55.75,Moderate
30.0,50.0,62.5,13.75,64.5,Low,Moderate,Moderate,Low,Moderate,44.15,Moderate
100.0,65.0,57.5,68.75,42.5,High,Moderate,Moderate,Moderate,Moderate,66.75,Moderate
60.0,60.0,35.0,58.75,81.5,Moderate,Moderate,Low,Moderate,High,59.05,Moderate
70.0,56.25,20.0,12.5,80.0,High,Moderate,Low,Low,High,47.75,Moderate
70.0,11.25,80.0,75.0,39.0,High,Low,High,High,Low,55.05,Moderate
30.0,68.75,55.0,73.75,81.5,Low,Moderate,Moderate,High,High,61.8,Moderate
70.0,35.0,65.0,71.25,40.5,High,Low,Moderate,High,Moderate,56.35,Moderate
40.0,23.75,52.5,67.5,48.5,Moderate,Low,Moderate,Moderate,Moderate,46.45,Moderate
50.0,40.0,80.0,37.5,93.5,Moderate,Moderate,High,Low,High,60.2,Moderate
80.0,60.0,20.0,96.25,74.0,High,Moderate,Low,High,High,66.05,Moderate
90.0,40.0,60.0,81.25,74.0,High,Moderate,Moderate,High,High,69.05,Moderate
50.0,68.75,40.0,85.0,46.0,Moderate,Moderate,Moderate,High,Moderate,57.95,Moderate
80.0,41.25,42.5,56.25,66.0,High,Moderate,Moderate,Moderate,Moderate,57.2,Moderate
70.0,41.25,52.5,42.5,36.0,High,Moderate,Moderate,Moderate,Low,48.45,Moderate
50.0,50.0,32.5,43.75,63.0,Moderate,Moderate,Low,Moderate,Moderate,47.85,Moderate
100.0,30.0,40.0,88.75,39.0,High,Low,Moderate,High,Low,59.55,Moderate
90.0,41.25,47.5,48.75,66.5,High,Moderate,Moderate,Moderate,Moderate,58.8,Moderate
50.0,26.25,52.5,70.0,59.5,Moderate,Low,Moderate,High,Moderate,51.65,Moderate
80.0,60.0,27.5,48.75,63.0,High,Moderate,Low,Moderate,Moderate,55.85,Moderate
40.0,35.0,45.0,91.25,55.5,Moderate,Low,Moderate,High,Moderate,53.35,Moderate
50.0,40.0,22.5,65.0,31.0,Moderate,Moderate,Low,Moderate,Low,41.7,Moderate
20.0,62.5,52.5,70.0,51.5,Low,Moderate,Moderate,High,Moderate,51.3,Moderate
50.0,52.5,65.0,62.5,52.0,Moderate,Moderate,Moderate,Moderate,Moderate,56.4,Moderate
60.0,40.0,65.0,62.5,38.5,Moderate,Moderate,Moderate,Moderate,Low,53.2,Moderate
80.0,51.25,15.0,47.5,76.5,High,Moderate,Low,Moderate,High,54.05,Moderate
50.0,77.5,25.0,53.75,98.5,Moderate,High,Low,Moderate,High,60.95,Moderate
60.0,81.25,45.0,47.5,65.5,Moderate,High,Moderate,Moderate,Moderate,59.85,Moderate
30.0,36.25,42.5,71.25,59.0,Low,Low,Moderate,High,Moderate,47.8,Moderate
50.0,38.75,42.5,70.0,56.0,Moderate,Low,Moderate,High,Moderate,51.45,Moderate
90.0,60.0,60.0,42.5,79.0,High,Moderate,Moderate,Moderate,High,66.3,Moderate
60.0,78.75,30.0,87.5,55.0,Moderate,High,Low,High,Moderate,62.25,Moderate
20.0,61.25,40.0,26.25,45.0,Low,Moderate,Moderate,Low,Moderate,38.5,Low
30.0,45.0,47.5,80.0,78.5,Low,Moderate,Moderate,High,High,56.2,Moderate
50.0,36.25,57.5,36.25,77.5,Moderate,Low,Moderate,Low,High,51.5,Moderate
60.0,40.0,57.5,43.75,65.5,Moderate,Moderate,Moderate,Moderate,Moderate,53.35,Moderate
60.0,47.5,62.5,78.75,63.0,Moderate,Moderate,Moderate,High,Moderate,62.35,Moderate
80.0,62.5,62.5,62.5,51.5,High,Moderate,Moderate,Moderate,Moderate,63.8,Moderate
50.0,48.75,10.0,15.0,76.0,Moderate,Moderate,Low,Low,High,39.95,Low
50.0,32.5,52.5,65.0,88.0,Moderate,Low,Moderate,Moderate,High,57.6,Moderate
40.0,50.0,75.0,48.75,55.5,Moderate,Moderate,High,Moderate,Moderate,53.85,Moderate
90.0,47.5,47.5,30.0,78.5,High,Moderate,Moderate,Low,High,58.7,Moderate
20.0,52.5,32.5,90.0,65.5,Low,Moderate,Low,High,Moderate,52.1,Moderate
40.0,32.5,60.0,58.75,50.0,Moderate,Low,Moderate,Moderate,Moderate,48.25,Moderate
50.0,37.5,65.0,86.25,50.0,Moderate,Low,Moderate,High,Moderate,57.75,Moderate
50.0,36.25,57.5,53.75,63.0,Moderate,Low,Moderate,Moderate,Moderate,52.1,Moderate
80.0,45.0,42.5,46.25,42.5,High,Moderate,Moderate,Moderate,Moderate,51.25,Moderate
60.0,75.0,42.5,96.25,40.0,Moderate,High,Moderate,High,Moderate,62.75,Moderate
40.0,33.75,10.0,41.25,54.5,Moderate,Low,Low,Moderate,Moderate,35.9,Low
50.0,40.0,82.5,57.5,41.5,Moderate,Moderate,High,Moderate,Moderate,54.3,Moderate
80.0,55.0,12.5,71.25,45.5,High,Moderate,Low,High,Moderate,52.85,Moderate
60.0,61.25,17.5,60.0,38.5,Moderate,Moderate,Low,Moderate,Low,47.45,Moderate
80.0,45.0,52.5,60.0,71.0,High,Moderate,Moderate,Moderate,High,61.7,Moderate
90.0,38.75,35.0,73.75,42.5,High,Low,Low,High,Moderate,56.0,Moderate
30.0,68.75,80.0,63.75,70.0,Low,Moderate,High,Moderate,High,62.5,Moderate
30.0,33.75,40.0,71.25,81.5,Low,Low,Moderate,High,High,51.3,Moderate
70.0,42.5,70.0,76.25,48.5,High,Moderate,High,High,Moderate,61.45,Moderate
70.0,46.25,52.5,72.5,60.0,High,Moderate,Moderate,High,Moderate,60.25,Moderate
80.0,26.25,32.5,57.5,72.0,High,Low,Low,Moderate,High,53.65,Moderate
70.0,42.5,35.0,22.5,95.0,High,Moderate,Low,Low,High,53.0,Moderate
90.0,32.5,60.0,83.75,54.5,High,Low,Moderate,High,Moderate,64.15,Moderate
70.0,52.5,82.5,91.25,36.0,High,Moderate,High,High,Low,66.45,Moderate
30.0,60.0,40.0,83.75,26.0,Low,Moderate,Moderate,High,Low,47.95,Moderate
60.0,53.75,10.0,67.5,52.5,Moderate,Moderate,Low,Moderate,Moderate,48.75,Moderate
50.0,58.75,45.0,65.0,46.0,Moderate,Moderate,Moderate,Moderate,Moderate,52.95,Moderate
90.0,61.25,45.0,72.5,48.5,High,Moderate,Moderate,High,Moderate,63.45,Moderate
40.0,22.5,25.0,52.5,59.0,Moderate,Low,Low,Moderate,Moderate,39.8,Low
50.0,36.25,35.0,18.75,49.0,Moderate,Low,Low,Low,Moderate,37.8,Low
20.0,61.25,47.5,75.0,24.0,Low,Moderate,Moderate,High,Low,45.55,Moderate
60.0,25.0,57.5,57.5,56.0,Moderate,Low,Moderate,Moderate,Moderate,51.2,Moderate
80.0,36.25,82.5,46.25,47.5,High,Low,High,Moderate,Moderate,58.5,Moderate
60.0,53.75,70.0,57.5,44.5,Moderate,Moderate,High,Moderate,Moderate,57.15,Moderate
70.0,11.25,72.5,93.75,45.0,High,Low,High,High,Moderate,58.5,Moderate
100.0,70.0,45.0,60.0,73.0,High,High,Moderate,Moderate,High,69.6,Moderate
60.0,31.25,77.5,35.0,67.0,Moderate,Low,High,Low,Moderate,54.15,Moderate
70.0,33.75,80.0,37.5,64.5,High,Low,High,Low,Moderate,57.15,Moderate
70.0,47.5,67.5,65.0,60.0,High,Moderate,Moderate,Moderate,Moderate,62.0,Moderate
90.0,57.5,80.0,68.75,76.5,High,Moderate,High,Moderate,High,74.55,High
80.0,47.5,47.5,86.25,66.5,High,Moderate,Moderate,High,Moderate,65.55,Moderate
50.0,32.5,55.0,88.75,60.0,Moderate,Low,Moderate,High,Moderate,57.25,Moderate
40.0,27.5,30.0,90.0,76.5,Moderate,Low,Low,High,High,52.8,Moderate
50.0,38.75,62.5,57.5,30.0,Moderate,Low,Moderate,Moderate,Low,47.75,Moderate
80.0,43.75,65.0,77.5,77.5,High,Moderate,Moderate,High,High,68.75,Moderate
80.0,38.75,37.5,52.5,55.0,High,Low,Low,Moderate,Moderate,52.75,Moderate
80.0,42.5,10.0,47.5,56.5,High,Moderate,Low,Moderate,Moderate,47.3,Moderate
40.0,67.5,27.5,57.5,56.0,Moderate,Moderate,Low,Moderate,Moderate,49.7,Moderate
90.0,51.25,22.5,92.5,67.0,High,Moderate,Low,High,Moderate,64.65,Moderate
40.0,57.5,47.5,75.0,44.5,Moderate,Moderate,Moderate,High,Moderate,52.9,Moderate
90.0,52.5,65.0,46.25,80.0,High,Moderate,Moderate,Moderate,High,66.75,Moderate
70.0,48.75,15.0,66.25,47.0,High,Moderate,Low,Moderate,Moderate,49.4,Moderate
60.0,47.5,62.5,43.75,76.5,Moderate,Moderate,Moderate,Moderate,High,58.05,Moderate
30.0,36.25,27.5,67.5,57.0,Low,Low,Low,Moderate,Moderate,43.65,Moderate
